datetime,open,high,low,close
2026-08-08 10:40:00+00:00,4342.26971,4342.4502,4342.20558,4342.3625
2026-08-08 10:45:00+00:00,4342.26536,4342.45891,4342.22105,4342.33792
2026-08-08 10:50:00+00:00,4342.27,4342.45599,4342.20951,4342.22859
2026-08-08 10:55:00+00:00,4342.26081,4342.44442,4342.19673,4342.32847
2026-08-08 11:00:00+00:00,4342.26233,4342.44293,4342.23488,4342.35969
2026-08-08 11:05:00+00:00,4342.23398,4342.55321,4342.23398,4342.31776
2026-08-08 11:10:00+00:00,4342.30224,4342.45946,4342.22046,4342.23367
2026-08-08 11:15:00+00:00,4342.26647,4342.45442,4342.20124,4342.33241
2026-08-08 11:20:00+00:00,4342.26795,4342.43887,4342.21019,4342.36378
2026-08-08 11:25:00+00:00,4342.26534,4342.46147,4342.21172,4342.34682
2026-08-08 11:30:00+00:00,4342.26987,4342.45805,4342.22679,4342.23355
2026-08-08 11:35:00+00:00,4342.26685,4342.46002,4342.20099,4342.33504
2026-08-08 11:40:00+00:00,4342.2699,4342.42789,4342.20661,4342.35986
2026-08-08 11:45:00+00:00,4342.26233,4342.45739,4342.20083,4342.34724
2026-08-08 11:50:00+00:00,4342.26233,4342.44605,4342.23021,4342.23021
2026-08-08 11:55:00+00:00,4342.26233,4342.45532,4342.19809,4342.33453
2026-08-08 12:00:00+00:00,4342.26238,4342.41812,4342.21149,4342.3573
2026-08-08 12:05:00+00:00,4342.26007,4342.45416,4342.19859,4342.35072
2026-08-08 12:10:00+00:00,4342.26226,4342.44447,4342.2292,4342.2292
2026-08-08 12:15:00+00:00,4342.26155,4342.457,4342.20172,4342.33841
2026-08-08 12:20:00+00:00,4342.26815,4342.414,4342.22258,4342.35998
2026-08-08 12:25:00+00:00,4342.26348,4342.45576,4342.2031,4342.3593
2026-08-08 12:30:00+00:00,4342.26778,4342.43269,4342.2307,4342.2307
2026-08-08 12:35:00+00:00,4342.26044,4342.45583,4342.20096,4342.31336
2026-08-08 12:40:00+00:00,4342.26044,4342.40035,4342.22185,4342.35442
2026-08-08 12:45:00+00:00,4342.26044,4342.45072,4342.19725,4342.36061
2026-08-08 12:50:00+00:00,4342.26233,4342.42761,4342.23258,4342.23258
